02:18.3,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.106703297,0.300825688,0.406842105,2509.740127,71
2,100,0.066703297,0.220825688,0.276842105,2607.446085,50
3,100,0.096703297,0.230825688,0.276842105,2007.043713,97
4,100,0.116703297,0.180825688,0.256842105,2508.714789,57
5,100,0.146703297,0.110825688,0.186842105,2910.380966,63
6,100,0.116703297,0.150825688,0.206842105,2508.21073,44
7,100,0.046703297,0.200825688,0.236842105,2505.997664,75
8,100,0.066703297,0.150825688,0.236842105,2210.089902,61
9,100,0.116703297,0.170825688,0.246842105,2408.096308,54
10,100,0.046923077,0.200825688,0.286842105,1907.622979,69
11,100,0.136703297,0.220825688,0.376842105,1811.586313,75
12,100,0.106703297,0.270825688,0.326842105,2211.885783,82
13,100,0.085384615,0.160825688,0.266842105,2009.513534,45
14,100,0.086703297,0.130825688,0.216842105,2706.333269,58
15,100,0.126703297,0.230825688,0.276842105,2106.347846,48
16,100,0.126703297,0.270825688,0.396842105,1308.611708,62
17,100,0.116703297,0.085229358,0.126842105,3208.993872,78
18,100,0.106703297,0.240825688,0.306842105,2607.942291,58
19,100,0.136703297,0.170825688,0.316842105,2209.987211,76
20,100,0.106703297,0.320825688,0.476842105,1910.59336,67
21,100,0.136703297,0.290825688,0.366842105,2608.811658,64
22,100,0.106703297,0.230825688,0.346842105,2309.330501,52
23,100,0.106703297,0.200825688,0.276842105,2208.278521,61
24,100,0.156703297,0.320825688,0.406842105,1608.152648,56
25,100,0.076703297,0.190825688,0.296842105,1909.525308,89
26,100,0.136703297,0.160825688,0.236842105,2108.555904,47
27,100,0.066703297,0.160825688,0.256842105,2006.362391,49
28,100,0.076703297,0.210825688,0.286842105,2307.297961,61
29,100,0.066703297,0.115229358,0.176842105,3107.928077,80
30,100,0.056703297,0.220825688,0.286842105,1909.030984,67
31,100,0.116703297,0.125229358,0.156842105,1907.983017,63
32,100,0.086703297,0.155229358,0.216842105,2505.980112,47
33,100,0.047142857,0.085229358,0.116842105,3106.163792,68
34,100,0.096703297,0.210825688,0.316842105,2408.977486,56
35,100,0.086703297,0.130825688,0.236842105,2908.362015,60
36,100,0.106703297,0.260825688,0.346842105,1908.463185,51
37,100,0.076703297,0.240825688,0.296842105,2309.268812,79
38,100,0.086703297,0.130825688,0.196842105,2105.728242,61
39,100,0.076703297,0.190825688,0.286842105,2410.942106,60
40,100,0.106703297,0.150825688,0.206842105,2408.352867,48
41,100,0.126703297,0.220825688,0.296842105,2909.026826,83
42,100,0.076703297,0.140825688,0.206842105,2308.757409,69
43,100,0.086703297,0.260825688,0.346842105,2208.891664,64
44,100,0.086703297,0.200825688,0.266842105,2207.456316,58
45,100,0.106703297,0.120825688,0.206842105,3207.90338,69
46,100,0.086703297,0.090825688,0.15,2109.273249,83
47,100,0.126703297,0.210825688,0.306842105,2208.160651,56
48,100,0.086703297,0.200825688,0.266842105,2107.518939,62
49,100,0.076703297,0.250825688,0.346842105,1707.444329,65
50,100,0.075384615,0.140825688,0.206842105,2707.735997,51
,,0.097463736,0.192866055,0.272505263,,63.38
